total_meters,price,floor,floors_count,rooms_count,location,district,underground
32.4,8300000,6,9,1,1,71,159
34.7,8300000,2,9,1,1,20,21
43.4,8300000,12,17,1,1,25,53
33.1,8350000,6,9,1,1,64,77
33.1,8400000,10,12,1,1,4,77
32.6,8490000,1,9,1,1,64,77
38.5,8400000,2,25,1,1,25,53
37.8,8450000,17,17,1,1,25,53
32.6,8450000,4,5,1,1,101,4
25.0,8400000,13,15,1,1,87,218
32.6,8400000,1,9,1,1,86,219
35.0,8400000,5,9,1,1,20,21
43.7,8400000,11,14,1,1,25,53
33.2,8499000,6,9,1,1,65,205
18.0,8450000,1,9,1,1,118,109
31.0,8490000,5,9,1,1,4,4
30.9,8400000,5,14,1,1,100,33
34.8,8400000,6,9,1,1,64,77
28.4,8400000,5,5,1,1,109,211
27.8,8400000,2,5,1,1,85,18
34.1,8500000,14,14,1,1,66,13
32.0,8500000,1,9,1,1,54,65
36.4,8500000,20,20,1,1,10,88
35.0,8500000,1,12,1,1,77,25
38.4,8500000,8,14,1,1,28,33
30.5,8500000,2,5,1,1,85,77
34.0,8500000,5,5,1,1,119,87
30.1,8500000,1,12,1,1,73,153
31.3,8500000,1,9,1,1,49,213
39.8,8500000,10,12,1,1,65,40
37.4,8500000,12,16,1,1,10,78
32.0,8500000,13,14,1,1,2,2
34.9,8500000,5,9,1,1,4,4
39.2,8500000,3,14,1,1,79,33
21.0,8500000,2,9,1,1,112,11
32.6,8500000,6,9,1,1,56,138
38.0,8500000,15,17,1,1,120,21
37.7,8500000,5,15,1,1,25,53
30.0,8500000,7,9,1,1,4,77
32.0,8500000,2,9,1,1,61,15
31.5,8500000,1,9,1,1,49,55
33.0,8500000,1,9,1,1,56,138
39.0,8500000,7,14,1,1,79,33
39.8,8500000,22,24,1,1,25,53
22.0,8500000,6,9,1,1,112,11
34.7,8500000,3,9,1,1,120,21
40.0,8600000,10,12,1,1,15,175
35.2,8600000,1,5,1,1,76,21
31.0,8600000,1,12,1,1,12,48
33.0,8600000,1,12,1,1,23,25
32.4,8600000,9,9,1,1,71,159
32.6,8600000,1,9,1,1,15,16
36.5,8600000,1,9,1,1,20,220
32.0,8600000,2,9,1,1,20,21
36.7,8600000,3,24,1,1,2,2
38.6,8600000,3,4,1,1,115,208
27.7,8600000,6,12,1,1,87,218
32.9,8595000,2,9,1,1,66,80
35.2,8550000,2,12,1,1,84,111
32.8,8600000,2,9,1,1,76,21
33.0,8600000,9,9,1,1,20,220
36.8,8600000,2,17,1,1,121,221
37.1,8600000,11,17,1,1,121,221
33.0,8700000,9,9,1,1,52,65
25.9,8700000,9,17,1,1,87,182
39.0,8700000,11,17,1,1,79,33
32.5,8700000,5,9,1,1,114,177
32.7,8650000,5,9,1,1,57,68
34.0,8700000,15,22,1,1,79,33
16.0,8700000,2,3,1,1,45,98
32.7,8700000,1,9,1,1,52,65
32.0,8700000,8,9,1,1,72,93
37.6,8650000,13,17,1,1,2,2
38.3,8650000,2,10,1,1,116,78
36.0,8700000,5,9,1,1,91,124
30.0,8700000,9,9,1,1,20,21
35.0,8699000,1,4,1,1,34,216
32.7,8700000,4,9,1,1,64,77
31.0,8700000,8,9,1,1,81,151
37.0,8700000,4,19,1,1,2,2
35.0,8750000,9,9,1,1,4,77
34.8,8750000,15,22,1,1,79,33
32.5,8790000,3,9,1,1,4,77
34.2,8780000,1,12,1,1,23,25
36.0,8800000,8,22,1,1,10,11
32.6,8800000,3,9,1,1,56,138
32.6,8800000,5,9,1,1,4,77
41.0,8800000,6,6,1,1,101,4
38.0,8800000,6,12,1,1,25,214
32.9,8850000,6,9,1,1,72,217
30.6,8800000,2,5,1,1,34,216
31.5,8800000,3,9,1,1,49,55
39.1,8800000,1,14,1,1,18,121
29.6,8800000,2,5,1,1,85,77
33.0,8850000,6,18,1,1,10,88
39.1,8800000,3,12,1,1,4,77
39.2,8800000,1,14,1,1,86,219
32.5,8850000,3,9,1,1,72,93
33.9,8800000,1,5,1,1,17,18
29.7,8850000,1,5,1,1,42,49
32.5,8800000,5,9,1,1,52,59
35.1,8800000,1,12,1,1,32,37
37.7,8900000,7,17,1,1,2,2
32.8,8990000,9,9,1,1,66,80
35.0,8900000,5,8,1,1,73,159
35.3,8999000,5,12,1,1,25,30
40.0,8900000,5,12,1,1,10,11
32.0,8900000,11,12,1,1,91,121
30.0,8990000,5,5,1,1,122,129
33.4,8900000,2,9,1,1,114,222
34.6,8900000,5,5,1,1,57,68
39.3,8900000,7,12,1,1,60,48
32.1,8900000,3,9,1,1,52,59
33.0,8900000,5,9,1,1,56,81
41.0,8990000,5,12,1,1,71,159
38.4,8990000,2,10,1,1,81,41
37.9,8900000,11,16,1,1,72,93
34.6,8999000,9,9,1,1,64,217
32.0,8900000,9,9,1,1,52,59
37.9,8900000,7,15,1,1,25,207
38.1,8900000,5,14,1,1,25,207
30.5,8950000,1,9,1,1,84,111
32.5,8900000,3,9,1,1,66,80
39.3,8999000,2,12,1,1,71,159
38.0,8940000,9,17,1,1,116,65
16.0,8990000,1,3,1,1,43,162
38.7,8990000,6,12,1,1,88,116
31.6,8970000,9,9,1,1,17,18
33.3,8990000,1,9,1,1,70,67
33.0,8990000,4,9,1,1,20,21
31.3,8999000,1,9,1,1,103,159
34.5,8900000,2,12,1,1,32,189
37.7,8990000,12,17,1,1,2,2
34.8,8950000,2,16,1,1,36,223
37.5,8999999,7,17,1,1,2,2
38.0,8900000,17,22,1,1,10,11
32.4,8900000,1,9,1,1,51,57
34.3,8900000,5,17,1,1,28,33
36.0,8900000,1,17,1,1,89,117
25.2,8900000,3,5,1,1,7,224
31.1,8900000,16,17,1,1,2,2
32.0,8900000,5,9,1,1,72,217
35.1,9000000,3,17,1,1,2,2
28.5,9000000,9,22,1,1,18,219
26.0,9000000,7,9,1,1,36,175
35.2,9000000,16,16,1,1,12,48
32.5,9000000,2,9,1,1,64,77
34.2,9000000,2,9,1,1,52,59
21.0,9000000,4,9,1,1,55,66
30.8,9000000,3,9,1,1,112,193
37.8,9000000,10,17,1,1,66,80
32.9,9000000,2,9,1,1,57,159
27.5,9000000,16,23,1,1,3,3
21.0,9000000,3,9,1,1,59,71
33.0,9050000,7,9,1,1,86,219
39.0,9000000,13,17,1,1,31,173
38.0,9000000,16,16,1,1,81,151
36.0,9000000,7,9,1,1,112,11
34.0,9000000,2,9,1,1,91,124
28.1,9000000,1,5,1,1,109,211
32.4,9000000,6,9,1,1,64,77
30.1,9000000,3,5,1,1,55,194
30.1,9000000,5,5,1,1,19,20
31.0,9000000,3,9,1,1,32,37
27.2,9000000,14,16,1,1,11,12
34.2,9000000,4,9,1,1,52,59
26.3,9000000,5,7,1,1,43,51
40.0,9000000,10,17,1,1,12,48
23.7,9000000,2,5,1,1,17,18
35.1,9000000,11,12,1,1,114,177
32.1,9000000,5,5,1,1,19,4
29.5,9000000,3,12,1,1,116,225
32.5,9000000,5,9,1,1,86,113
25.5,9000000,7,9,1,1,64,217
37.7,9000000,6,17,1,1,2,2
33.0,9000000,5,9,1,1,64,77
32.8,9000000,5,9,1,1,117,33
32.7,9000000,7,9,1,1,10,156
38.0,9000000,10,14,1,1,25,214
34.9,9000000,2,12,1,1,109,188
34.8,9000000,1,12,1,1,33,38
39.0,9000000,3,12,1,1,66,174
32.5,9100000,4,9,1,1,56,138
34.6,9100000,3,16,1,1,4,77
34.3,9100000,4,17,1,1,28,33
32.9,9150000,7,9,1,1,73,153
30.1,9150000,1,9,1,1,56,138
37.9,9150000,10,17,1,1,98,154
26.5,9100000,11,16,1,1,11,50
32.6,9100000,5,9,1,1,70,148
34.3,9150000,6,12,1,1,72,93
36.8,9150000,3,17,1,1,2,2
30.0,9150000,2,9,1,1,108,172
32.2,9100000,1,9,1,1,92,130
33.6,9100000,8,9,1,1,88,116
39.0,9100000,9,24,1,1,10,88
33.0,9110000,5,5,1,1,50,150
32.1,9100000,7,9,1,1,18,219
31.7,9150000,11,16,1,1,2,2
37.0,9100000,7,17,1,1,2,2
38.4,9100000,2,12,1,1,71,159
36.7,9100000,11,17,1,1,10,156
34.0,9100000,1,16,1,1,6,122
39.1,9100000,13,16,1,1,46,33
33.0,9100000,4,9,1,1,70,67
34.0,9150000,8,9,1,1,72,93
33.0,9150000,5,9,1,1,52,156
27.6,9100000,1,12,1,1,72,93
36.0,9200000,16,24,1,1,10,11
33.3,9200000,1,9,1,1,70,67
31.8,9200000,8,9,1,1,67,61
31.9,9200000,1,5,1,1,19,20
29.8,9200000,1,9,1,1,56,138
35.0,9200000,6,12,1,1,15,175
35.6,9200000,11,12,1,1,114,177
35.0,9200000,1,14,1,1,103,159
33.0,9200000,12,12,1,1,91,124
32.2,9200000,1,9,1,1,54,65
35.5,9200000,3,9,1,1,25,214
35.0,9200000,2,12,1,1,109,188
37.0,9200000,10,18,1,1,10,156
29.8,9200000,7,9,1,1,67,61
42.0,9200000,12,14,1,1,25,53
39.7,9200000,2,13,1,1,121,221
40.0,12700000,14,16,1,1,66,13
35.9,18450000,23,23,1,1,40,46
34.9,19000000,8,14,1,1,22,74
39.0,14600000,15,17,1,1,31,173
34.5,11900000,6,12,1,1,25,54
35.0,11900000,8,15,1,1,68,226
40.8,11600000,9,16,1,1,8,8
36.0,16000000,5,12,1,1,37,42
51.7,13500000,1,5,1,1,82,120
44.7,12459200,1,10,1,1,82,89
54.1,14621700,8,10,1,1,82,89
58.0,15462500,3,10,1,1,82,89
60.5,16018100,8,10,1,1,82,89
60.5,16013800,2,10,1,1,82,89
33.9,12000000,3,9,1,1,44,52
38.5,13500000,8,12,1,1,11,12
37.9,8799000,7,15,1,1,25,207
46.9,23190000,17,20,1,1,22,97
41.1,14500000,14,22,1,1,55,66
16.0,6800000,1,9,1,1,118,227
32.0,9530000,5,5,1,1,49,55
32.8,8500000,2,9,1,1,76,21
45.0,18950000,2,20,1,1,27,32
33.4,10500000,1,12,1,1,112,191
35.2,10950000,8,12,1,1,112,191
43.2,17000000,15,23,1,1,29,69
33.0,14900000,4,9,1,1,119,119
30.7,8500000,1,12,1,1,12,48
32.6,12500000,2,9,1,1,51,37
38.9,13477999,7,12,1,1,29,69
42.3,13200000,19,25,1,1,35,228
34.2,21500000,8,9,1,1,38,60
31.9,16900000,9,24,1,1,29,34
33.0,10950000,9,9,1,1,47,45
32.0,12270000,3,15,1,1,7,7
31.0,9490000,9,9,1,1,3,133
37.2,19999999,2,9,1,1,11,50
34.7,9500000,5,9,1,1,73,153
20.1,8900000,3,9,1,1,59,71
32.3,9800000,1,9,1,1,32,37
24.7,11800000,4,8,1,1,22,74
30.0,8790000,5,5,1,1,19,4
37.3,20900000,2,30,1,1,3,58
38.0,13300000,10,17,1,1,90,131
41.1,17000000,17,18,1,1,59,125
39.0,12899999,6,13,1,1,23,25
41.1,14190000,13,15,1,1,80,87
34.6,10000000,3,16,1,1,103,159
34.5,14000000,22,25,1,1,65,205
38.0,13800000,12,16,1,1,103,159
37.5,11099000,16,17,1,1,65,205
37.6,13500000,5,16,1,1,5,5
32.9,9500000,1,4,1,1,82,120
33.0,13600000,4,9,1,1,38,44
31.7,11050000,2,33,1,1,52,106
38.0,15000000,16,16,1,1,74,94
30.9,10600000,6,9,1,1,39,45
29.4,11550000,5,9,1,1,21,101
36.8,10800000,1,17,1,1,66,13
40.0,8899000,1,12,1,1,4,77
37.8,11400000,7,14,1,1,98,154
38.3,16600000,12,18,1,1,78,99
37.4,10000000,4,17,1,1,2,2
40.2,11900000,11,25,1,1,57,159
33.0,11500000,4,12,1,1,51,57
43.6,16990000,10,15,1,1,67,82
38.9,13750000,9,12,1,1,47,128
35.0,9400000,5,12,1,1,64,217
43.0,11900000,15,25,1,1,12,100
38.0,20800000,14,28,1,1,88,120
36.2,9800000,1,9,1,1,15,16
39.0,17990000,14,19,1,1,42,92
33.1,8000000,1,9,1,1,88,116
37.6,16300000,14,21,1,1,47,128
36.5,10580300,9,10,1,1,82,89
36.5,10580300,8,10,1,1,82,89
50.0,18600000,3,19,1,1,111,229
41.3,10700000,8,12,1,1,50,150
35.0,11000000,8,12,1,1,85,77
30.1,13000000,4,8,1,1,33,87
35.0,13500000,1,12,1,1,48,230
38.8,11000000,7,17,1,1,92,130
39.2,19640000,10,12,1,1,16,231
52.5,13650000,2,22,1,1,84,111
40.0,15700000,5,16,1,1,47,232
33.0,12990000,4,9,1,1,47,232
31.0,12900000,8,9,1,1,118,109
35.0,11800000,14,15,1,1,82,157
38.1,13400000,7,15,1,1,24,90
38.0,11799999,15,17,1,1,31,36
38.4,9990000,9,22,1,1,31,173
32.6,8000000,8,9,1,1,4,77
39.0,13600000,11,16,1,1,47,45
41.0,12900000,18,24,1,1,66,13
31.8,8500000,15,16,1,1,2,2
33.0,9600000,1,9,1,1,59,71
34.0,8200000,7,14,1,1,100,33
33.0,9900000,4,5,1,1,17,18
36.0,15200000,5,9,1,1,45,83
35.0,10900000,3,24,1,1,41,151
41.0,12800000,10,17,1,1,14,15
37.0,15400000,12,19,1,1,68,226
36.0,8500000,11,16,1,1,2,210
33.0,6999999,4,9,1,1,46,33
38.1,12400000,10,22,1,1,65,135
40.0,11700000,16,17,1,1,57,68
32.9,9400000,2,9,1,1,56,81
42.9,17200000,2,23,1,1,29,69
51.7,13500000,1,5,1,1,82,108
38.7,13500000,2,25,1,1,58,114
38.0,15500000,11,17,1,1,33,87
36.0,9800000,9,9,1,1,32,37
38.5,25400000,5,20,1,1,22,97
44.1,21000000,10,24,1,1,81,41
40.0,11750000,7,14,1,1,12,48
42.0,11500000,3,16,1,1,71,49
39.4,11590000,14,14,1,1,71,1
40.0,12900000,15,16,1,1,69,89
47.7,13950000,5,17,1,1,101,4
38.0,20100000,6,13,1,1,23,114
39.0,14990000,9,12,1,1,70,137
34.0,19500000,16,33,1,1,29,34
48.5,16490000,11,22,1,1,59,233
34.7,17499000,16,23,1,1,40,46
59.1,24900000,5,8,1,1,42,49
29.8,10000000,6,9,1,1,88,108
31.1,12900000,8,10,1,1,30,75
36.0,21000000,1,14,1,1,37,42
48.9,18400000,8,24,1,1,54,65
37.0,22000000,18,21,1,1,7,64
35.2,22000000,4,9,1,1,22,28
42.2,26500000,3,20,1,1,22,97
33.5,31000000,19,33,1,1,29,34
50.0,45490000,4,5,1,1,16,63
58.0,62000000,8,14,1,1,95,72
37.6,15100000,6,15,1,1,92,118
38.0,7600000,12,16,1,1,60,48
45.5,18300000,4,12,1,1,29,69
23.0,19000000,2,20,1,1,38,44
32.8,8490000,1,9,1,1,15,16
41.0,21500000,2,5,1,1,29,166
33.0,9990000,6,9,1,1,4,77
46.9,23170000,17,20,1,1,22,97
34.0,15200000,5,12,1,1,37,42
33.0,14800000,4,9,1,1,119,119
35.1,15000000,10,12,1,1,43,234
36.0,19800000,7,10,1,1,104,165
30.0,8300000,1,9,1,1,47,232
31.4,12800000,7,8,1,1,3,23
37.4,10800000,8,16,1,1,65,135
20.1,8700000,3,9,1,1,59,71
34.0,10500000,2,9,1,1,54,130
38.2,9000000,10,17,1,1,91,124
30.0,12400000,2,12,1,1,1,186
35.0,14500000,17,25,1,1,24,227
30.0,9800000,1,8,1,1,33,87
55.9,28000000,15,17,1,1,70,137
35.0,18250000,8,9,1,1,16,231
38.3,10200000,1,12,1,1,19,20
38.2,18400000,12,22,1,1,111,235
36.0,9300000,9,12,1,1,25,54
36.0,12983000,4,12,1,1,77,96
39.8,14000000,5,24,1,1,81,41
46.7,10250000,17,17,1,1,28,33
32.9,9499000,1,4,1,1,82,120
32.8,8300000,9,9,1,1,123,223
39.6,11200000,8,17,1,1,2,2
32.8,13500000,3,5,1,1,111,229
35.0,8999000,5,5,1,1,78,209
32.5,10200000,8,9,1,1,96,119
35.5,8990000,3,9,1,1,25,214
38.0,10200000,7,14,1,1,72,236
32.3,9750000,1,9,1,1,32,37
35.0,9990000,4,14,1,1,103,159
38.0,16500000,7,17,1,1,107,171
33.0,6950000,4,9,1,1,46,33
32.8,11499999,7,12,1,1,70,142
35.0,10990000,5,19,1,1,10,11
36.0,11190000,9,9,1,1,73,153
36.0,11499000,9,9,1,1,70,148
37.8,11600000,6,12,1,1,114,48
40.2,11599000,11,25,1,1,57,159
39.0,11900000,9,12,1,1,69,89
37.0,12000000,10,22,1,1,15,16
38.0,10500000,17,17,1,1,57,159
26.3,13250000,3,13,1,1,43,86
36.8,14000000,1,6,1,1,105,84
41.3,20500000,16,25,1,1,59,71
40.0,14990000,3,19,1,1,68,226
40.4,22700000,2,6,1,1,22,97
36.2,14300000,16,16,1,1,105,192
47.0,31600000,15,29,1,1,22,23
42.9,17099000,2,23,1,1,29,69
34.9,9550000,6,16,1,1,4,77
36.0,9950000,3,9,1,1,20,21
37.0,15799999,10,16,1,1,108,172
33.8,23300000,18,26,1,1,39,158
31.8,9500000,15,16,1,1,2,2
34.5,14100000,10,22,1,1,50,56
33.1,8300000,1,9,1,1,88,116
31.4,9250000,1,5,1,1,19,20
34.9,10500000,5,9,1,1,67,82
52.0,27000000,13,15,1,1,1,92
37.4,9300000,5,9,1,1,41,47
32.0,12150000,10,33,1,1,53,129
31.3,10300000,5,9,1,1,17,18
38.2,9700000,7,17,1,1,98,154
34.5,11400000,6,16,1,1,80,119
36.3,17400000,17,29,1,1,67,61
38.7,12100000,9,24,1,1,31,36
41.1,16900000,17,18,1,1,59,125
17.0,7890000,1,5,1,1,43,51
34.9,10900000,6,12,1,1,68,226
34.4,7950000,6,8,1,1,73,159
31.8,9700000,3,5,1,1,49,55
30.3,8300000,4,18,1,1,1,1
41.3,11999999,9,17,1,1,98,154
40.0,15727550,16,16,1,1,11,12
36.0,8300000,11,16,1,1,2,210
34.7,9200000,7,14,1,1,71,15
25.0,8490000,1,14,1,1,78,237
28.0,12890000,17,19,1,1,13,227
32.6,8790000,3,9,1,1,56,81
30.3,11700000,1,5,1,1,77,96
35.8,8950000,5,12,1,1,114,177
38.4,10993555,3,17,1,1,52,106
35.1,9800000,2,9,1,1,32,37
36.0,9890000,10,12,1,1,55,51
41.3,11314272,12,25,1,1,2,2
32.6,9850000,4,9,1,1,15,16
36.2,9950000,2,17,1,1,10,190
42.2,11500000,3,16,1,1,71,15
33.0,9950000,3,9,1,1,69,89
40.5,11900000,8,10,1,1,88,116
34.0,12100000,20,33,1,1,11,183
43.0,25000000,8,21,1,1,50,56
34.4,13900000,4,12,1,1,42,49
39.0,32000000,6,21,1,1,24,29
31.9,10000000,3,5,1,1,76,21
44.0,13000000,8,25,1,1,82,157
32.0,9950000,6,9,1,1,56,81
36.9,22300000,13,13,1,1,30,35
48.5,19990000,14,24,1,1,54,65
32.6,15700000,8,9,1,1,96,119
32.6,9500000,3,9,1,1,15,16
27.0,11990000,12,16,1,1,11,12
33.6,8900000,8,9,1,1,88,116
31.0,10000000,3,5,1,1,76,21
37.9,10500000,3,22,1,1,73,47
38.4,14000000,15,16,1,1,47,128
36.3,10496388,17,25,1,1,2,2
40.0,10600000,11,12,1,1,66,13
41.5,27699000,13,16,1,1,22,28
39.9,10608395,17,26,1,1,2,2
37.6,13300000,5,16,1,1,5,5
42.9,10700000,17,22,1,1,66,13
41.9,11054085,22,25,1,1,2,2
35.0,12180000,15,16,1,1,40,238
37.3,11000000,10,16,1,1,15,16
32.1,12500000,3,9,1,1,6,230
30.0,14000000,4,9,1,1,38,44
36.0,12350000,22,32,1,1,66,174
42.0,17000000,8,33,1,1,11,24
36.0,11300000,17,17,1,1,74,94
45.0,18800000,10,20,1,1,27,32
35.1,17800000,5,17,1,1,50,56
41.0,13000000,19,24,1,1,12,100
37.9,14800000,1,17,1,1,5,5
38.8,11500000,3,14,1,1,35,40
39.0,22500000,20,22,1,1,29,170
41.5,15700000,18,24,1,1,53,61
30.0,11650000,6,8,1,1,45,83
43.1,16342812,9,19,1,1,67,61
30.0,16900000,15,21,1,1,7,64
31.0,12950000,1,5,1,1,93,161
34.4,17000000,5,23,1,1,40,46
40.0,18150000,17,17,1,1,106,169
38.0,12500000,14,17,1,1,66,13
43.1,27000000,18,19,1,1,119,196
33.0,13800000,9,9,1,1,24,85
66.6,31302000,2,6,1,1,43,162
43.5,23900000,11,13,1,1,22,74
36.0,14300000,7,22,1,1,18,219
42.0,15700000,8,12,1,1,47,232
35.3,14500000,4,14,1,1,106,180
40.7,24000000,22,26,1,1,50,56
40.5,26600000,10,25,1,1,24,29
32.0,15550000,1,9,1,1,30,75
43.0,16700000,22,30,1,1,86,113
30.0,17500000,15,23,1,1,7,64
32.6,16900000,8,23,1,1,29,34
35.5,21200000,5,14,1,1,40,198
36.0,9000000,9,12,1,1,20,220
39.3,17399000,3,12,1,1,111,229
35.2,10450000,12,12,1,1,63,76
34.8,12300000,2,12,1,1,82,123
33.4,11750000,5,9,1,1,39,158
38.9,12990000,9,12,1,1,24,29
34.0,12900000,5,9,1,1,98,154
33.1,9700000,5,5,1,1,17,18
34.0,14450000,10,15,1,1,7,7
29.0,13800000,14,17,1,1,42,92
35.5,9750000,10,12,1,1,51,57
32.0,9999000,1,9,1,1,112,193
31.0,10950000,5,5,1,1,82,123
35.0,10700000,9,9,1,1,58,41
31.4,10800000,5,5,1,1,29,69
30.9,9500000,8,17,1,1,2,2
43.0,10900000,2,9,1,1,4,77
47.0,22500000,11,15,1,1,7,7
38.0,10700000,11,14,1,1,88,116
32.1,15490000,7,28,1,1,55,239
38.2,11300000,10,17,1,1,66,13
45.0,21000000,5,33,1,1,48,6
42.2,16100000,5,17,1,1,111,229
33.0,9150000,9,19,1,1,2,2
32.7,9150000,6,12,1,1,15,175
45.0,22000000,7,8,1,1,38,34
40.4,22600000,17,30,1,1,3,58
40.0,23000000,2,20,1,1,22,28
34.0,15350000,21,24,1,1,57,159
33.1,15500000,14,23,1,1,23,114
36.0,18950000,7,7,1,1,38,60
37.0,13400000,13,14,1,1,90,118
37.6,11400000,12,17,1,1,2,2
33.0,12300000,7,9,1,1,70,148
38.0,12100000,11,17,1,1,114,177
35.2,10700000,7,9,1,1,41,151
38.1,11350000,2,14,1,1,89,117
40.0,22000000,5,9,1,1,9,240
33.0,10390000,4,12,1,1,52,59
41.0,16700000,19,32,1,1,66,174
33.0,12200000,1,10,1,1,83,83
40.0,15950000,21,25,1,1,89,127
38.2,12750000,15,17,1,1,66,13
38.4,11450000,9,12,1,1,72,184
32.0,9000000,10,12,1,1,71,159
30.0,14800000,4,8,1,1,119,87
33.0,13000000,8,9,1,1,43,86
32.9,15500000,6,9,1,1,7,79
34.8,6300000,12,17,1,2,124,241
33.2,6890000,21,27,1,2,106,31
30.5,5450000,3,5,1,2,125,242
42.9,9750000,2,25,1,2,126,243
31.2,8100000,7,8,1,2,106,242
25.4,4790000,9,9,1,2,125,31
31.3,8200000,4,9,1,2,127,244
31.2,5350000,2,9,1,2,106,242
33.0,4800000,6,9,1,2,128,245
48.5,14800000,16,22,1,2,129,246
34.7,8500000,3,5,1,2,130,247
32.1,6300000,7,9,1,2,124,229
35.0,6699999,11,15,1,2,126,248
35.6,7500000,9,16,1,2,124,224
40.9,8000000,1,10,1,2,129,249
57.4,9800000,3,4,1,2,130,247
40.0,7900000,6,12,1,2,124,241
45.0,25900000,3,9,1,2,131,134
33.4,6000000,9,9,1,2,126,248
38.0,2900000,2,3,1,2,106,242
36.0,7990000,9,16,1,2,127,250
56.2,35000000,5,10,1,2,131,251
61.6,38000000,3,10,1,2,131,251
36.0,7800000,12,19,1,2,128,86
52.1,9900000,3,4,1,2,132,147
36.0,6900000,8,25,1,2,106,252
31.5,6200000,1,9,1,2,130,253
30.0,6490000,22,25,1,2,126,254
40.7,11458075,4,4,1,2,133,255
38.1,13290000,4,13,1,2,133,256
52.0,13900000,2,15,1,2,128,257
46.1,15899000,3,5,1,2,134,224
41.2,17474980,3,4,1,2,135,258
22.6,4500000,9,9,1,2,125,242
30.8,5250000,5,5,1,2,127,250
30.0,5300000,1,9,1,2,133,256
29.2,5500000,6,9,1,2,128,257
43.0,5900000,2,9,1,2,130,253
32.6,8400000,3,23,1,2,128,257
29.0,8610000,4,4,1,2,124,229
39.9,11085318,3,4,1,2,133,255
33.8,12500000,5,10,1,2,126,243
45.0,13350000,2,4,1,2,135,259
47.3,13600000,9,11,1,2,136,260
56.0,15500000,3,15,1,2,124,261
52.4,18750000,9,25,1,2,124,224
51.1,20440000,2,3,1,2,132,262
53.6,21440000,1,3,1,2,132,262
50.8,27950000,3,9,1,2,131,251
62.6,49000000,2,6,1,2,131,251
65.0,65000000,6,7,1,2,131,147
36.4,4890000,1,6,1,2,130,253
38.6,6200000,2,12,1,2,128,245
41.0,7440000,9,10,1,2,124,261
25.0,5090000,6,8,1,2,125,31
32.0,9600000,6,12,1,2,137,27
32.5,4950000,2,10,1,2,133,247
31.0,4770000,5,5,1,2,128,86
31.7,3500000,1,5,1,2,138,245
34.0,5200000,10,13,1,2,128,263
45.4,3900000,6,6,1,2,130,247
35.6,4890000,11,23,1,2,129,264
32.5,4700000,20,23,1,2,129,244
31.0,5800000,2,9,1,2,106,242
34.0,5990000,2,25,1,2,129,264
33.9,5900000,2,9,1,2,126,244
31.6,6000000,3,5,1,2,137,265
32.7,6050000,1,9,1,2,137,27
43.2,6000000,1,5,1,2,130,253
30.2,6100000,5,5,1,2,137,266
32.8,6280000,4,5,1,2,130,247
31.0,6700000,1,5,1,2,126,243
37.7,6700000,18,22,1,2,130,265
33.64,6800000,5,10,1,2,124,241
34.3,6800000,1,25,1,2,127,267
38.8,6800000,15,16,1,2,126,268
32.2,6900000,2,4,1,2,137,265
31.0,6990000,9,9,1,2,127,196
31.9,6990000,3,5,1,2,125,269
34.2,7000000,8,9,1,2,129,249
35.0,7200000,5,14,1,2,124,241
38.2,7300000,7,10,1,2,106,31
33.2,7350000,5,9,1,2,106,242
37.6,7500000,4,12,1,2,130,247
38.5,7500000,6,12,1,2,124,268
43.6,7500000,7,17,1,2,129,246
33.6,7700000,20,27,1,2,126,254
35.0,7827000,8,17,1,2,124,241
35.7,7799000,1,5,1,2,135,270
26.2,4450000,1,9,1,2,125,242
31.8,4950000,8,9,1,2,106,242
40.9,8000000,1,10,1,2,126,243
41.6,8300000,1,25,1,2,137,265
36.7,8800000,9,17,1,2,126,248
31.5,5000000,18,23,1,2,130,247
33.9,7999000,2,12,1,2,137,266
35.72,4990000,1,19,1,2,133,271
30.3,4900000,2,5,1,2,128,272
39.0,14000000,2,10,1,2,136,273
41.8,8050000,4,17,1,2,128,249
31.0,4900000,6,9,1,2,129,274
42.0,12900000,1,10,1,2,124,243
32.4,6100000,10,15,1,2,126,248
44.7,11720000,5,6,1,2,137,275
28.9,5000000,9,9,1,2,133,271
41.0,8300000,3,5,1,2,126,229
29.0,5150000,2,9,1,2,133,271
33.1,4490000,3,12,1,2,130,253
58.1,22000000,3,8,1,2,136,274
31.4,5000000,1,5,1,2,137,266
32.4,5300000,5,6,1,2,130,253
24.6,5750000,11,25,1,2,124,241
31.0,4800000,4,9,1,2,125,242
32.25,8200000,16,24,1,2,124,241
38.1,9200000,8,10,1,2,132,276
32.0,4850000,7,9,1,2,106,31
31.3,4450000,1,5,1,2,126,248
34.0,8200000,17,23,1,2,129,246
41.5,11899000,4,14,1,2,137,27
31.5,6700000,2,5,1,2,133,271
54.48,21000000,3,5,1,2,134,224
42.4,10490000,10,24,1,2,125,31
29.0,4750000,1,9,1,2,128,257
37.9,8800000,21,25,1,2,124,241
32.6,4299000,2,5,1,2,128,272
31.3,5350000,1,5,1,2,137,266
31.0,4999000,1,5,1,2,133,271
37.9,8890000,7,14,1,2,128,274
38.9,9000000,9,9,1,2,132,276
38.5,9500000,10,16,1,2,132,276
39.3,9800000,4,5,1,2,129,246
37.6,9900000,7,16,1,2,124,241
36.0,10400000,7,17,1,2,127,250
45.4,7199000,12,17,1,2,106,242
