total_meters,price,floor,floors_count,rooms_count,location,district,underground
29.7,12750000,4,9,1,1,21,102
36.1,22000000,15,20,1,1,29,103
38.1,9350000,1,17,1,1,12,104
32.7,10500000,3,9,1,1,52,65
30.1,23990000,22,32,1,1,38,44
40.0,14700000,2,16,1,1,80,105
46.3,21000000,14,34,1,1,77,96
40.0,25000000,3,26,1,1,11,50
35.7,17300000,11,16,1,1,44,63
34.2,15790000,12,12,1,1,21,22
37.9,11499999,16,20,1,1,52,106
38.65,20000000,7,22,1,1,6,6
35.0,9950000,12,12,1,1,81,41
31.8,11900000,5,8,1,1,34,107
38.9,11500000,3,14,1,1,66,80
52.8,16500000,5,5,1,1,82,108
39.5,14800000,9,17,1,1,33,109
49.0,31000000,12,14,1,1,30,75
37.8,12950000,9,17,1,1,15,16
45.5,32500000,6,14,1,1,30,75
45.0,34900000,13,15,1,1,30,35
46.0,11111111,4,14,1,1,83,83
18.5,6900000,14,16,1,1,11,110
38.5,9500000,17,18,1,1,23,26
31.8,8790000,15,16,1,1,2,2
30.0,9000000,2,2,1,1,84,111
34.8,9300000,8,9,1,1,85,112
38.0,12100000,3,17,1,1,86,113
36.5,9499999,6,18,1,1,12,48
39.8,14370000,5,24,1,1,81,41
32.8,9950000,9,9,1,1,23,114
42.1,15300000,18,33,1,1,53,61
38.8,10300000,9,18,1,1,10,88
36.3,10500000,5,15,1,1,87,115
37.7,8700000,10,19,1,1,2,2
36.8,10500000,21,23,1,1,88,116
31.6,10650000,14,25,1,1,89,117
38.5,13800000,12,17,1,1,90,118
38.0,10800000,9,17,1,1,28,33
32.4,10999000,4,9,1,1,52,106
34.4,8000000,12,16,1,1,60,13
30.5,10990000,1,5,1,1,19,4
38.0,11999999,15,17,1,1,31,36
30.9,10990000,6,9,1,1,39,45
34.5,11490000,6,16,1,1,80,119
37.7,11700000,6,17,1,1,58,41
52.4,15800000,5,5,1,1,82,120
36.1,11700000,12,16,1,1,51,57
34.2,11800000,6,14,1,1,66,13
33.0,9500000,9,9,1,1,18,121
31.6,12000000,6,12,1,1,48,122
34.8,12000000,2,12,1,1,82,123
40.0,12250000,8,20,1,1,10,11
37.8,12300000,9,17,1,1,91,124
33.0,9990000,3,9,1,1,69,89
41.1,17300000,17,18,1,1,59,125
36.0,18499000,14,20,1,1,77,126
29.9,12800000,2,8,1,1,22,74
39.3,9300000,5,14,1,1,12,48
40.9,15600000,13,25,1,1,89,127
30.6,13000000,3,5,1,1,81,41
34.0,13450000,5,9,1,1,22,86
37.4,18000000,15,19,1,1,47,128
32.5,13350000,20,23,1,1,71,15
32.0,12350000,10,33,1,1,53,129
32.7,15500000,4,9,1,1,6,6
38.1,14700000,9,17,1,1,92,130
48.9,18900000,8,24,1,1,54,65
35.0,10499000,8,12,1,1,51,37
38.0,12990000,10,17,1,1,90,131
38.5,21300000,2,25,1,1,40,46
37.0,20500000,4,33,1,1,29,34
35.2,12950000,8,9,1,1,93,132
38.0,19100000,13,23,1,1,29,69
57.0,16500000,7,31,1,1,25,54
34.0,14000000,7,16,1,1,22,74
47.0,27300000,6,24,1,1,5,5
37.8,9900000,14,17,1,1,2,2
42.2,23500000,2,29,1,1,40,46
40.2,12600000,20,25,1,1,12,100
40.9,24250000,15,29,1,1,29,34
31.0,13100000,8,9,1,1,3,133
42.1,29900000,9,21,1,1,37,134
38.1,14750000,17,22,1,1,65,135
37.2,22650000,19,26,1,1,78,136
40.6,16500000,23,30,1,1,3,58
39.0,19000000,15,20,1,1,22,74
56.0,28000000,15,17,1,1,70,137
27.0,9000000,5,9,1,1,56,138
39.0,10990000,5,19,1,1,10,11
28.4,17950000,2,30,1,1,40,46
42.4,29800000,13,33,1,1,29,34
39.0,18499000,3,12,1,1,22,139
29.0,11600000,2,5,1,1,83,140
39.0,15400000,21,25,1,1,55,66
40.0,13800000,10,17,1,1,88,116
30.0,7100000,2,6,1,1,66,100
27.73,41490000,4,10,1,1,94,141
35.5,9950000,10,12,1,1,51,57
35.1,34900000,21,21,1,1,37,134
38.2,13200000,21,22,1,1,68,142
38.0,25900000,3,4,1,1,95,143
30.0,14200000,3,9,1,1,16,144
41.3,20900000,16,25,1,1,59,71
32.6,20950000,4,9,1,1,9,145
40.0,11700000,20,23,1,1,89,117
34.9,10700000,5,9,1,1,67,82
40.0,19000000,22,24,1,1,96,146
55.3,65000000,4,6,1,1,9,147
32.7,12450000,9,9,1,1,70,148
34.8,14500000,2,12,1,1,97,149
27.0,12300000,12,16,1,1,11,12
30.3,12200000,1,5,1,1,77,96
19.7,8500000,10,22,1,1,5,5
40.6,15500000,4,30,1,1,3,58
34.7,9200000,2,9,1,1,50,150
36.0,12000000,12,19,1,1,6,122
